32	2.065e-05
64	3.45e-06
96	4.4e-06
128	2.35e-06
160	1.02e-05
192	1.745e-05
224	2.45e-06
256	8.25e-06
288	8e-07
320	2.26e-05
352	7.5e-07
384	2.055e-05
416	1.695e-05
448	2.19e-05
480	1.635e-05
512	8e-07
544	1.66e-05
576	2.265e-05
608	1.56e-05
640	8.5e-07
672	3.05e-06
704	8e-07
736	1.05e-05
768	1.835e-05
800	1.605e-05
832	7.35e-06
864	2.935e-05
896	6.4e-06
928	2.765e-05
960	3.16e-05
992	2.495e-05
1024	1.065e-05
1056	1.965e-05
1088	1.52e-05
1120	4.45e-06
1152	7.25e-06
1184	2.685e-05
1216	8.5e-07
1248	2.735e-05
1280	1.645e-05
1312	2.45e-06
1344	2.79e-05
1376	1.51e-05
1408	2.95e-05
1440	1.5e-06
1472	1.35e-06
1504	9e-07
1536	4.5e-06
1568	1.435e-05
1600	2.555e-05
1632	1.845e-05
1664	1e-05
1696	2.075e-05
1728	1.815e-05
1760	1.15e-06
1792	2.65e-06
1824	9.5e-07
1856	9.3e-06
1888	2.35e-05
1920	2.265e-05
1952	3.31e-05
1984	1.1e-06
2016	2.75e-06
2048	1.92e-05
2080	6.75e-06
2112	1.1e-06
2144	2.855e-05
2176	1.05e-06
2208	1e-06
2240	2.3e-06
2272	2.95e-06
2304	1.535e-05
2336	3.635e-05
2368	1.265e-05
2400	5.85e-06
2432	1.05e-06
2464	1e-06
2496	2.04e-05
2528	2.96e-05
2560	8.25e-06
2592	3.015e-05
2624	1.83e-05
2656	2.5e-05
2688	2.54e-05
2720	1.05e-06
2752	2.975e-05
2784	9e-06
2816	9.7e-06
2848	4.9e-06
2880	4.8e-06
2912	3.07e-05
2944	2.255e-05
2976	7e-06
3008	8.75e-06
3040	2.595e-05
3072	1.25e-06
3104	1.1e-06
3136	1.415e-05
3168	2.97e-05
3200	2.9e-05
